,"I am someone who Is outgoing, sociable","I am someone who Is compassionate, has a soft heart",I am someone who Tends to be disorganized,"I am someone who Is relaxed, handles stress well",I am someone who Has few artistic interests,I am someone who Has an assertive personality,"I am someone who Is respectful, treats others with respect",I am someone who Tends to be lazy,I am someone who Stays optimistic after experiencing a setback,I am someone who Is curious about many different things,I am someone who Rarely feels excited or eager,I am someone who Tends to find fault with others,"I am someone who Is dependable, steady","I am someone who Is moody, has up and down mood swings","I am someone who Is inventive, finds clever ways to do things",I am someone who Tends to be quiet,I am someone who Feels little sympathy for others,"I am someone who Is systematic, likes to keep things in order",I am someone who Can be tense,"I am someone who Is fascinated by art, music, or literature","I am someone who Is dominant, acts as a leader",I am someone who Starts arguments with others,I am someone who Has difficulty getting started on tasks,"I am someone who Feels secure, comfortable with self","I am someone who Avoids intellectual, philosophical discussions",I am someone who Is less active than other people,I am someone who Has a forgiving nature,I am someone who Can be somewhat careless,"I am someone who Is emotionally stable, not easily upset",I am someone who Has little creativity,"I am someone who Is sometimes shy, introverted",I am someone who Is helpful and unselfish with others,I am someone who Keeps things neat and tidy,I am someone who Worries a lot,I am someone who Values art and beauty,I am someone who Finds it hard to influence people,I am someone who Is sometimes rude to others,"I am someone who Is efficient, gets things done",I am someone who Often feels sad,"I am someone who Is complex, a deep thinker",I am someone who Is full of energy,I am someone who Is suspicious of others’ intentions,"I am someone who Is reliable, can always be counted on",I am someone who Keeps their emotions under control,I am someone who Has difficulty imagining things,I am someone who Is talkative,I am someone who Can be cold and uncaring,"I am someone who Leaves a mess, doesn’t clean up",I am someone who Rarely feels anxious or afraid,I am someone who Thinks poetry and plays are boring,I am someone who Prefers to have others take charge,"I am someone who Is polite, courteous to others","I am someone who Is persistent, works until the task is finished","I am someone who Tends to feel depressed, blue",I am someone who Has little interest in abstract Ideas,I am someone who Shows a lot of Enthusiasm,I am someone who Assumes the best about people,I am someone who Sometimes behaves irresponsibly,"I am someone who Is temperamental, gets emotional easily","I am someone who Is original, comes up with new Ideas"
I like to garden. I like photography. I love traveling. I like to bake pies.,2,5,2,4,1,2,1,1,4,5,1,1,4,1,4,2,1,2,2,2,2,1,2,4,5,2,4,2,1,1,2,5,4,2,4,4,1,3,2,4,4,1,4,4,2,2,1,1,4,1,1,1,4,1,2,5,1,2,1,4
I’ve a beard. I graduated high school. I like rap music. I live on a farm. I drive a truck.,2,4,2,4,2,4,5,2,4,2,2,2,4,2,4,2,2,2,4,4,4,2,2,4,2,2,4,4,4,2,2,4,2,2,2,2,2,4,2,3,4,2,4,4,2,2,2,2,2,2,2,4,5,2,4,4,4,4,2,2
I blog about salt water aquarium ownership. I still love to line dry my clothes. I’m allergic to peanuts. I’ll one day own a ferret. My mom raised me by herself and taught me to play baseball.,2,5,2,4,2,3,5,2,4,5,2,2,4,2,4,4,1,4,2,2,2,1,2,4,2,2,4,2,4,1,2,5,4,2,3,2,1,4,2,4,3,2,4,4,2,2,1,1,4,2,1,5,5,2,2,5,4,2,2,4
Since young I ve loved to cook. I auditionated in a cooking show. I think I’ve talent for it. I took classes while growing up.,5,3,2,2,1,5,3,1,4,4,1,1,2,1,4,1,1,2,2,2,4,1,1,4,5,1,3,4,3,1,1,3,2,2,4,1,1,3,1,2,4,1,3,2,1,4,1,1,2,1,1,3,4,1,5,5,3,2,2,3
My name is tom. I try to watch what I eat. I enjoy eating italian food. Pizza is my favorite. I am east asian.,2,4,1,3,4,2,5,1,4,3,2,1,4,2,2,4,1,2,3,2,2,1,2,4,4,2,4,2,4,2,3,4,3,2,2,4,1,4,2,3,2,1,4,4,2,2,1,1,3,1,2,5,3,1,2,3,4,2,1,2
I live by a lake. I am a mother. I own a custom upholstery shop. I’m a wife.,2,5,2,4,1,4,5,1,4,4,2,1,5,2,5,2,1,4,4,4,2,1,2,4,2,2,4,2,4,1,2,5,4,4,5,2,1,5,2,4,3,2,5,4,2,2,1,1,4,2,1,5,5,2,2,4,4,2,2,4
I enjoy working out and learning new things. I’m a student in college. I’m studying software development. I play the guitar.,2,4,2,3,1,3,5,1,4,5,1,1,4,2,4,2,1,2,2,4,2,1,2,4,1,1,4,2,4,1,2,4,2,2,4,2,1,4,2,4,4,2,4,4,2,2,1,2,3,1,1,4,4,1,1,5,4,2,2,4
"I’ve three dogs at home. I hate to workout, but I need to. I am very good at the drums. I have a bicycle. I need to take my blood sugar everyday.",2,4,4,2,1,2,4,4,3,3,2,1,4,3,3,2,1,4,4,4,2,1,4,3,4,4,3,4,3,2,2,4,2,4,4,3,1,2,2,4,2,2,4,3,2,2,1,2,2,2,2,4,4,2,4,3,3,4,2,3
I work in advertising. My mother is dead. I like to hike. I’ve a golden retriever. I write fiction for fun.,2,4,2,4,1,4,5,1,4,4,2,2,4,2,4,2,1,2,4,4,2,2,2,4,2,2,4,2,3,1,2,4,2,4,4,2,2,4,4,4,4,2,4,4,2,2,2,1,2,2,2,4,4,4,2,4,4,2,2,4
"I can never decide between a chili corn dog and a cheesy hot dog. I drive more than an hour each way to work. I prefer the night to the day, but I love sunshine. I am a grandparent at 44.",2,4,4,2,2,2,5,2,4,4,2,2,4,4,2,2,1,2,4,2,2,2,4,3,2,4,4,4,3,2,2,4,2,4,2,2,2,2,2,5,2,2,4,2,2,2,1,2,2,2,2,4,4,2,2,3,4,4,2,3
