"file","factor","tcc","mae"
"persona_Gemma2_9b_zero_shot","Extraversion",0.99,0.0185341418053917
"persona_Gemma2_9b_zero_shot","Agreeableness",1,0.0301150360841963
"persona_Gemma2_9b_zero_shot","Conscientiousness",0.98,0.0276281292719923
"persona_Gemma2_9b_zero_shot","Neuroticism",0.99,0.021090614640037
"persona_Gemma2_9b_zero_shot","Openness",0.99,0.0202255509210271
"persona_Gemma2_27b_zero_shot","Extraversion",1,0.0304093920780082
"persona_Gemma2_27b_zero_shot","Agreeableness",1,0.0364299154597895
"persona_Gemma2_27b_zero_shot","Conscientiousness",0.99,0.0250583361518759
"persona_Gemma2_27b_zero_shot","Neuroticism",1,0.0134547725509233
"persona_Gemma2_27b_zero_shot","Openness",0.99,0.0181830072058131
"persona_GPT4o_mini_zero_shot","Extraversion",1,0.0341531477545313
"persona_GPT4o_mini_zero_shot","Agreeableness",1,0.0372546909801766
"persona_GPT4o_mini_zero_shot","Conscientiousness",0.99,0.0272065301980799
"persona_GPT4o_mini_zero_shot","Neuroticism",0.99,0.021164255695165
"persona_GPT4o_mini_zero_shot","Openness",1,0.0130042745546175
"persona_GPT4o_zero_shot","Extraversion",1,0.0191485985748504
"persona_GPT4o_zero_shot","Agreeableness",1,0.0215413203253637
"persona_GPT4o_zero_shot","Conscientiousness",0.99,0.0211316229990031
"persona_GPT4o_zero_shot","Neuroticism",0.99,0.0264474254653203
"persona_GPT4o_zero_shot","Openness",1,0.0100614058982199
"persona_Llama3_8b_zero_shot","Extraversion",0.99,0.0150271252356285
"persona_Llama3_8b_zero_shot","Agreeableness",1,0.0173944545736361
"persona_Llama3_8b_zero_shot","Conscientiousness",0.97,0.0324000655605548
"persona_Llama3_8b_zero_shot","Neuroticism",0.96,0.0455623414688259
"persona_Llama3_8b_zero_shot","Openness",0.99,0.0290543749987836
"persona_Llama3_70b_zero_shot","Extraversion",0.99,0.0360051564114029
"persona_Llama3_70b_zero_shot","Agreeableness",1,0.0372794663861083
"persona_Llama3_70b_zero_shot","Conscientiousness",0.98,0.0314126215949255
"persona_Llama3_70b_zero_shot","Neuroticism",1,0.0154758759605935
"persona_Llama3_70b_zero_shot","Openness",0.99,0.0150679215687628
"persona_Mistral_7b_zero_shot","Extraversion",0.99,0.0174839887308739
"persona_Mistral_7b_zero_shot","Agreeableness",1,0.00878726166441831
"persona_Mistral_7b_zero_shot","Conscientiousness",1,0.00974205196025872
"persona_Mistral_7b_zero_shot","Neuroticism",0.99,0.0344082652046802
"persona_Mistral_7b_zero_shot","Openness",1,0.0117109663860089
"psi_Gemma2_9b_zero_shot","Extraversion",0.99,0.0193217903686517
"psi_Gemma2_9b_zero_shot","Agreeableness",1,0.0225351356562259
"psi_Gemma2_9b_zero_shot","Conscientiousness",0.99,0.0159611298120488
"psi_Gemma2_9b_zero_shot","Neuroticism",0.99,0.018273420991059
"psi_Gemma2_9b_zero_shot","Openness",0.96,0.0409714316142231
"psi_Gemma2_27b_zero_shot","Extraversion",1,0.0328051006678474
"psi_Gemma2_27b_zero_shot","Agreeableness",1,0.0273456841768099
"psi_Gemma2_27b_zero_shot","Conscientiousness",1,0.0176665310847002
"psi_Gemma2_27b_zero_shot","Neuroticism",0.99,0.0180937060981167
"psi_Gemma2_27b_zero_shot","Openness",1,0.00989201051051036
"psi_GPT4o_mini_zero_shot","Extraversion",1,0.0288112834310204
